"SID","count","L1.beepvar","L1.A_rude","L1.E_quiet","L1.C_lazy","L1.N_relaxed","L1.N_depressed","L1.E_outgoing","L1.A_kind","L1.C_reliable","L1.N_worried","L1.pos_emo","L1.neg_emo","L1.authentic","L1.self_esteem","L1.happy","L1.lonely","L1.aca_motiv","L1.around_others","L1.connected","L2.GPA","L2.life_sat","L2.friendship_sat","L2.community_sat","L2.academic_sat","L2.psych_sat","L2.procrastinate","L2.gender","L2.age"
10439,22,1,1.44444444444444,3,2,4,1,3,3.66666666666667,3,1,3,1,4,4,3,1,4,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,0,1,4,1,4,1,3,2,4,2,3,1,4,4,4,1,3,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,2,1,2,1,4,1,5,4,4,1,4,1,5,4,4,1,2,5,4,3.65,13,10,7,11,14,4,2,21
10439,22,4,1,3,3,4,1,4,3,3,1,4,1,4,4,4,1,2,3,5,3.65,13,10,7,11,14,4,2,21
10439,22,5,2,1,1,3,1,5,4,5,1,5,1,4,4,5,1,2,5,5,3.65,13,10,7,11,14,4,2,21
10439,22,8,2,3,4,3,1,2,3,3,2,3,3,3,4,3,3,1,2,2,3.65,13,10,7,11,14,4,2,21
10439,22,9,1.44444444444444,5,3,3,2,1,3.66666666666667,3,1,4,1,3,4,4,2,2,2,1,3.65,13,10,7,11,14,4,2,21
10439,22,10,1,2,1,4,1,5,4,4,1,4,1,4,4,4,1,5,5,4,3.65,13,10,7,11,14,4,2,21
10439,22,11,1,3,2,4,1,4,4,3,1,5,1,4,5,4,2,3,5,3,3.65,13,10,7,11,14,4,2,21
10439,22,12,1.44444444444444,5,3,4,2,2,3.66666666666667,4,1,4,1,4,4,3,2,5,2,2,3.65,13,10,7,11,14,4,2,21
10439,22,14,1,2,2,4,1,4,4,4,1,5,1,4,4,4,1,3,4,4,3.65,13,10,7,11,14,4,2,21
10439,22,15,2,1,2,5,1,5,5,4,1,5,1,4,5,5,1,1,5,5,3.65,13,10,7,11,14,4,2,21
10439,22,16,1,4,2,2,1,3,3,3,2,3,2,3,4,3,1,5,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,17,2,3,2,3,1,3,4,3,1,4,1,4,5,5,1,4,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,18,1,2,3,4,1,4,4,3,1,4,1,4,4,5,1,4,4,4,3.65,13,10,7,11,14,4,2,21
10439,22,19,2,3,3,4,1,3,4,3,2,3,1,4,4,4,2,4,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,20,1,3,3,3,1,4,3,3,2,4,1,4,4,4,1,2,5,4,3.65,13,10,7,11,14,4,2,21
10439,22,21,2,3,3,4,1,4,4,3,2,3,2,3,3,3,2,4,2,3,3.65,13,10,7,11,14,4,2,21
10439,22,24,2,2,3,4,1,4,4,3,2,4,1,4,4,4,1,3,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,25,1,3,2,2,1,3,3,4,2,3,1,4,3,4,2,4,3,3,3.65,13,10,7,11,14,4,2,21
10439,22,27,2,2,1,4,1,3,4,4,2,4,1,4,4,4,2,4,4,4,3.65,13,10,7,11,14,4,2,21
10439,22,31,1.44444444444444,5,3,4,1,2,3.66666666666667,3,2,3,2,3,4,3,2,2,2,2,3.65,13,10,7,11,14,4,2,21
10320,40,1,2,2,1,4,2,2,3,4,2,4,2,4,3,3,2,3,3,2,NA,9,9,11,6,13,4,1,18
10320,40,0,1,3,2,4,2,3,3,3,2,4,2,4,3,3,1,3,3,2,NA,9,9,11,6,13,4,1,18
10320,40,2,2,2,2,2,1,4,3,3,3,4,3,2,3,4,1,4,4,3,NA,9,9,11,6,13,4,1,18
10320,40,3,2,2,1,2,1,4,4,4,4,4,2,3,3,5,1,1,4,4,NA,9,9,11,6,13,4,1,18
10320,40,4,2,2,1,5,1,4,2,3,2,4,2,2,4,5,1,1,5,4,NA,9,9,11,6,13,4,1,18
10320,40,5,1.66666666666667,5,5,5,1,1,2.8,3,1,4,1,5,4,4,1,1,1,1,NA,9,9,11,6,13,4,1,18
10320,40,7,1,5,2,1,4,1,3,5,5,2,4,5,1,2,4,1,1,1,NA,9,9,11,6,13,4,1,18
10320,40,8,1,1,2,4,1,5,4,3,2,5,1,4,4,5,1,1,5,4,NA,9,9,11,6,13,4,1,18
10320,40,9,1.66666666666667,5,5,3,4,1,2.8,1,4,1,4,3,1,1,3,1,1,2,NA,9,9,11,6,13,4,1,18
10320,40,11,1,5,3,1,4,1,1,3,5,3,5,3,2,2,4,5,1,1,NA,9,9,11,6,13,4,1,18
10320,40,12,1.66666666666667,5,2,1,2,1,2.8,4,4,2,4,3,3,1,3,5,1,1,NA,9,9,11,6,13,4,1,18
10320,40,13,1,2,2,1,2,4,3,4,2,2,3,3,3,2,3,3,3,3,NA,9,9,11,6,13,4,1,18
10320,40,14,3,3,1,1,5,2,1,3,4,1,4,3,3,1,2,4,1,2,NA,9,9,11,6,13,4,1,18
10320,40,16,2,3,2,1,5,2,2,4,5,1,5,2,1,1,3,5,2,2,NA,9,9,11,6,13,4,1,18
10320,40,17,1.66666666666667,5,1,1,5,1,2.8,5,5,1,4,5,2,1,4,5,1,1,NA,9,9,11,6,13,4,1,18
